Sample:	'C6 1uL_20C(EM)	
File name:	acetonitrile.FDS	
Run date:	'17:05:10, 12/09/2023	
Operator:	IISER	
Comment:	'	
		
Instrument		
Model:	F-7000 FL Spectrophotometer	
Serial number:	3037-001	
ROM Version:	5J14000 12	
Accessory:	Polarization unit	
		
Instrument parameters		
Measurement type:	Wavelength scan	
Scan mode:	Emission	
Data mode:	Fluorescence	
EX WL:	427.0 nm	
EM  Start WL:	440.0 nm	
EM  End WL:	700.0 nm	
Scan speed:	240 nm/min	
Delay:	1.0 s	
EX Slit:	5.0 nm	
EM Slit:	5.0 nm	
PMT Voltage:	700 V	
Response:	2.0 s	
Corrected spectra:	Off	
Shutter control:	On	
EX Polarizer:	0 deg.	
502.2	7.035	
502.4	7.019	
502.6	7.000	
502.8	6.986	
503.0	6.949	
503.2	6.907	
503.4	6.874	
503.6	6.844	
503.8	6.829	
504.0	6.813	
504.2	6.779	
504.4	6.748	
504.6	6.712	
504.8	6.688	
505.0	6.667	
505.2	6.660	
505.4	6.631	
505.6	6.610	
505.8	6.581	
506.0	6.580	
506.2	6.572	
506.4	6.562	
506.6	6.516	
506.8	6.459	
507.0	6.406	
507.2	6.401	
507.4	6.402	
507.6	6.407	
507.8	6.408	
508.0	6.406	
508.2	6.396	
508.4	6.389	
508.6	6.359	
508.8	6.329	
509.0	6.304	
509.2	6.286	
509.4	6.261	
509.6	6.227	
509.8	6.182	
510.0	6.123	
510.2	6.073	
510.4	6.018	
510.6	5.973	
510.8	5.925	
511.0	5.881	
511.2	5.829	
511.4	5.786	
511.6	5.752	
511.8	5.735	
512.0	5.718	
512.2	5.712	
512.4	5.706	
512.6	5.715	
512.8	5.737	
513.0	5.751	
513.2	5.749	
513.4	5.736	
513.6	5.720	
513.8	5.713	
514.0	5.713	
514.2	5.701	
514.4	5.687	
514.6	5.664	
514.8	5.623	
515.0	5.581	
515.2	5.549	
515.4	5.507	
515.6	5.462	
515.8	5.432	
516.0	5.383	
516.2	5.329	
516.4	5.294	
516.6	5.252	
516.8	5.214	
517.0	5.181	
517.2	5.127	
517.4	5.067	
517.6	5.046	
517.8	5.029	
518.0	5.027	
518.2	5.007	
518.4	4.976	
518.6	4.950	
518.8	4.944	
519.0	4.946	
519.2	4.947	
519.4	4.925	
519.6	4.887	
519.8	4.838	
520.0	4.790	
520.2	4.741	
520.4	4.716	
520.6	4.686	
520.8	4.669	
521.0	4.640	
521.2	4.621	
521.4	4.600	
521.6	4.608	
521.8	4.602	
522.0	4.604	
522.2	4.577	
522.4	4.543	
522.6	4.523	
522.8	4.513	
523.0	4.496	
523.2	4.511	
523.4	4.506	
523.6	4.489	
523.8	4.466	
524.0	4.438	
524.2	4.410	
524.4	4.407	
524.6	4.385	
524.8	4.368	
525.0	4.332	
525.2	4.287	
525.4	4.234	
525.6	4.177	
525.8	4.114	
526.0	4.074	
526.2	4.038	
526.4	4.034	
526.6	4.040	
526.8	4.041	
527.0	4.027	
527.2	3.997	
527.4	3.953	
527.6	3.938	
527.8	3.940	
528.0	3.957	
528.2	3.966	
528.4	3.958	
528.6	3.928	
528.8	3.893	
529.0	3.858	
529.2	3.829	
529.4	3.817	
529.6	3.820	
529.8	3.821	
530.0	3.797	
530.2	3.759	
530.4	3.717	
530.6	3.690	
530.8	3.669	
531.0	3.645	
531.2	3.609	
531.4	3.576	
531.6	3.548	
531.8	3.526	
532.0	3.515	
532.2	3.498	
532.4	3.487	
532.6	3.477	
532.8	3.463	
533.0	3.452	
533.2	3.457	
533.4	3.455	
533.6	3.456	
533.8	3.447	
534.0	3.413	
534.2	3.378	
534.4	3.351	
534.6	3.324	
534.8	3.309	
535.0	3.303	
535.2	3.292	
535.4	3.278	
535.6	3.255	
535.8	3.215	
536.0	3.163	
536.2	3.105	
536.4	3.056	
536.6	3.016	
536.8	2.987	
537.0	2.965	
537.2	2.936	
537.4	2.894	
537.6	2.861	
537.8	2.838	
538.0	2.820	
538.2	2.801	
538.4	2.777	
538.6	2.763	
538.8	2.753	
539.0	2.750	
539.2	2.743	
539.4	2.725	
539.6	2.704	
539.8	2.691	
540.0	2.671	
540.2	2.660	
540.4	2.647	
540.6	2.625	
540.8	2.600	
541.0	2.577	
541.2	2.563	
541.4	2.559	
541.6	2.556	
541.8	2.559	
542.0	2.553	
542.2	2.538	
542.4	2.510	
542.6	2.474	
542.8	2.428	
543.0	2.398	
543.2	2.367	
543.4	2.351	
543.6	2.338	
543.8	2.333	
544.0	2.329	
544.2	2.317	
544.4	2.296	
544.6	2.279	
544.8	2.263	
545.0	2.258	
545.2	2.267	
545.4	2.264	
545.6	2.252	
545.8	2.226	
546.0	2.183	
546.2	2.138	
546.4	2.107	
546.6	2.086	
546.8	2.068	
547.0	2.050	
547.2	2.029	
547.4	2.005	
547.6	1.994	
547.8	1.978	
548.0	1.971	
548.2	1.959	
548.4	1.949	
548.6	1.942	
548.8	1.939	
549.0	1.919	
549.2	1.902	
549.4	1.887	
549.6	1.873	
549.8	1.860	
550.0	1.843	
550.2	1.820	
550.4	1.786	
550.6	1.774	
550.8	1.773	
551.0	1.787	
551.2	1.795	
551.4	1.790	
551.6	1.774	
551.8	1.769	
552.0	1.763	
552.2	1.767	
552.4	1.760	
552.6	1.740	
552.8	1.717	
553.0	1.701	
553.2	1.685	
553.4	1.669	
553.6	1.640	
553.8	1.607	
554.0	1.577	
554.2	1.562	
554.4	1.555	
554.6	1.556	
554.8	1.566	
555.0	1.576	
555.2	1.578	
555.4	1.576	
555.6	1.580	
555.8	1.577	
556.0	1.585	
556.2	1.589	
556.4	1.587	
556.6	1.582	
556.8	1.576	
557.0	1.562	
557.2	1.546	
557.4	1.537	
557.6	1.537	
557.8	1.531	
558.0	1.507	
558.2	1.482	
558.4	1.444	
558.6	1.421	
558.8	1.402	
559.0	1.384	
559.2	1.372	
559.4	1.366	
559.6	1.357	
559.8	1.350	
560.0	1.332	
560.2	1.311	
560.4	1.299	
560.6	1.283	
560.8	1.273	
561.0	1.268	
561.2	1.267	
561.4	1.273	
561.6	1.283	
561.8	1.291	
562.0	1.301	
562.2	1.302	
562.4	1.297	
562.6	1.291	
562.8	1.287	
563.0	1.293	
563.2	1.294	
563.4	1.278	
563.6	1.253	
563.8	1.222	
564.0	1.197	
564.2	1.188	
564.4	1.173	
564.6	1.168	
564.8	1.169	
565.0	1.174	
565.2	1.184	
565.4	1.199	
565.6	1.198	
565.8	1.194	
566.0	1.181	
566.2	1.169	
566.4	1.162	
566.6	1.156	
566.8	1.147	
567.0	1.138	
567.2	1.122	
567.4	1.110	
567.6	1.108	
567.8	1.110	
568.0	1.119	
568.2	1.137	
568.4	1.147	
568.6	1.152	
568.8	1.159	
569.0	1.165	
569.2	1.167	
569.4	1.162	
569.6	1.144	
569.8	1.125	
570.0	1.115	
570.2	1.106	
570.4	1.096	
570.6	1.073	
570.8	1.046	
571.0	1.026	
571.2	1.006	
571.4	0.995	
571.6	0.991	
571.8	0.988	
572.0	0.977	
572.2	0.963	
572.4	0.945	
572.6	0.930	
572.8	0.915	
573.0	0.905	
573.2	0.905	
573.4	0.911	
573.6	0.921	
573.8	0.929	
574.0	0.919	
574.2	0.898	
574.4	0.883	
574.6	0.863	
574.8	0.850	
575.0	0.850	
575.2	0.852	
575.4	0.853	
575.6	0.855	
575.8	0.848	
576.0	0.844	
576.2	0.843	
576.4	0.846	
576.6	0.845	
576.8	0.843	
577.0	0.838	
577.2	0.827	
577.4	0.814	
577.6	0.804	
577.8	0.793	
578.0	0.785	
578.2	0.782	
578.4	0.777	
578.6	0.781	
578.8	0.786	
579.0	0.787	
579.2	0.787	
579.4	0.778	
579.6	0.772	
579.8	0.780	
580.0	0.788	
580.2	0.801	
580.4	0.809	
580.6	0.795	
580.8	0.780	
581.0	0.775	
581.2	0.769	
581.4	0.777	
581.6	0.785	
581.8	0.774	
582.0	0.764	
582.2	0.757	
