
nm	Data	
440.0	9998	
440.2	9999.9	
440.4	9999.9	
440.6	9992	
440.8	9937	
441.0	9828	
441.2	9662	
441.4	9451	
441.6	9206	
441.8	8932	
442.0	8638	
442.2	8325	
442.4	7998	
442.6	7659	
442.8	7312	
443.0	6958	
443.2	6603	
443.4	6249	
443.6	5900	
443.8	5557	
444.0	5220	
444.2	4893	
444.4	4574	
444.6	4266	
444.8	3971	
445.0	3688	
445.2	3419	
445.4	3165	
445.6	2926	
445.8	2701	
446.0	2489	
446.2	2290	
446.4	2105	
446.6	1934	
446.8	1774	
447.0	1627	
447.2	1492	
447.4	1367	
447.6	1253	
447.8	1148	
448.0	1053	
448.2	965.5	
448.4	886.0	
448.6	813.6	
448.8	747.8	
449.0	687.9	
449.2	633.5	
449.4	584.1	
449.6	539.2	
449.8	498.4	
450.0	461.2	
450.2	427.4	
450.4	396.7	
450.6	368.8	
450.8	343.5	
451.0	320.5	
451.2	299.6	
451.4	280.5	
451.6	263.2	
451.8	247.5	
452.0	233.1	
452.2	220.2	
452.4	208.5	
452.6	197.9	
452.8	188.3	
453.0	179.6	
453.2	171.6	
453.4	164.5	
453.6	157.9	
453.8	152.1	
454.0	146.8	
454.2	141.9	
454.4	137.6	
454.6	133.6	
454.8	130.0	
455.0	126.8	
455.2	123.9	
455.4	121.4	
455.6	119.2	
455.8	117.2	
456.0	115.4	
456.2	113.9	
456.4	112.5	
456.6	111.2	
456.8	109.9	
457.0	108.8	
457.2	107.9	
457.4	107.2	
457.6	106.6	
457.8	106.2	
458.0	105.8	
458.2	105.5	
458.4	105.4	
458.6	105.3	
458.8	105.2	
459.0	105.2	
459.2	105.2	
459.4	105.4	
459.6	105.5	
459.8	105.8	
460.0	106.1	
460.2	106.6	
460.4	107.0	
460.6	107.4	
460.8	107.7	
461.0	107.9	
461.2	108.2	
461.4	108.6	
461.6	109.0	
461.8	109.3	
462.0	109.9	
462.2	110.6	
462.4	111.3	
462.6	111.9	
462.8	112.4	
463.0	112.7	
463.2	113.2	
463.4	113.9	
463.6	114.6	
463.8	115.4	
464.0	116.0	
464.2	116.6	
464.4	117.1	
464.6	117.7	
464.8	118.3	
465.0	119.0	
465.2	119.8	
465.4	120.6	
465.6	121.3	
465.8	122.0	
466.0	122.7	
466.2	123.3	
466.4	124.0	
466.6	124.7	
466.8	125.5	
467.0	126.4	
467.2	127.4	
467.4	128.4	
467.6	129.3	
467.8	130.4	
468.0	131.3	
468.2	132.2	
468.4	133.1	
468.6	134.1	
468.8	135.1	
469.0	136.1	
469.2	137.0	
469.4	137.9	
469.6	138.8	
469.8	139.8	
470.0	140.9	
470.2	141.9	
470.4	142.9	
470.6	144.0	
470.8	145.1	
471.0	146.2	
471.2	147.2	
471.4	148.2	
471.6	149.2	
471.8	150.3	
472.0	151.3	
472.2	152.2	
472.4	153.1	
472.6	154.0	
472.8	155.1	
473.0	156.1	
473.2	157.1	
473.4	158.1	
473.6	159.0	
473.8	159.9	
474.0	160.9	
474.2	161.9	
474.4	162.9	
474.6	164.0	
474.8	165.0	
475.0	166.1	
475.2	167.1	
475.4	168.2	
475.6	169.2	
475.8	170.3	
476.0	171.4	
476.2	172.5	
476.4	173.5	
476.6	174.5	
476.8	175.5	
477.0	176.6	
477.2	177.6	
477.4	178.7	
477.6	179.9	
477.8	181.0	
478.0	182.2	
478.2	183.2	
478.4	184.1	
478.6	185.1	
478.8	186.0	
479.0	187.0	
479.2	188.0	
479.4	189.1	
479.6	190.3	
479.8	191.4	
480.0	192.5	
480.2	193.5	
480.4	194.6	
480.6	195.9	
480.8	197.2	
481.0	198.6	
481.2	199.9	
481.4	201.1	
481.6	202.5	
481.8	203.9	
482.0	205.2	
482.2	206.5	
482.4	207.9	
482.6	209.2	
482.8	210.6	
483.0	211.9	
483.2	213.3	
483.4	214.7	
483.6	215.9	
483.8	217.1	
484.0	218.6	
484.2	220.0	
484.4	221.6	
484.6	223.3	
484.8	224.8	
485.0	226.2	
485.2	227.7	
485.4	229.4	
485.6	231.0	
485.8	232.7	
486.0	234.3	
486.2	236.2	
486.4	237.9	
486.6	239.7	
486.8	241.3	
487.0	242.9	
487.2	244.5	
487.4	246.1	
487.6	247.7	
487.8	249.2	
488.0	250.8	
488.2	252.4	
488.4	254.0	
488.6	255.7	
488.8	257.5	
489.0	259.5	
489.2	261.4	
489.4	263.3	
489.6	265.0	
489.8	266.7	
490.0	268.5	
490.2	270.4	
490.4	272.1	
490.6	274.0	
490.8	275.7	
491.0	277.5	
491.2	279.5	
491.4	281.6	
491.6	283.6	
491.8	285.6	
492.0	287.4	
492.2	289.2	
492.4	290.8	
492.6	292.6	
492.8	294.4	
493.0	296.4	
493.2	298.2	
493.4	300.1	
493.6	301.7	
493.8	303.3	
494.0	305.1	
494.2	307.0	
494.4	308.9	
494.6	310.8	
494.8	312.7	
495.0	314.6	
495.2	316.4	
495.4	318.4	
495.6	320.6	
495.8	322.7	
496.0	324.8	
496.2	326.9	
496.4	328.9	
496.6	331.0	
496.8	333.0	
497.0	334.8	
497.2	336.6	
497.4	338.2	
497.6	339.9	
497.8	341.7	
498.0	343.3	
498.2	345.1	
498.4	347.0	
498.6	348.8	
498.8	350.8	
499.0	352.8	
499.2	354.5	
499.4	356.1	
499.6	357.9	
499.8	359.7	
500.0	362.0	
500.2	364.4	
500.4	366.8	
500.6	369.1	
500.8	371.3	
501.0	373.3	
501.2	375.3	
501.4	377.3	
501.6	379.1	
501.8	381.0	
502.0	383.2	
502.2	385.2	
502.4	387.3	
502.6	389.5	
502.8	391.6	
503.0	393.7	
503.2	396.0	
503.4	398.1	
503.6	400.0	
503.8	402.0	
504.0	404.0	
504.2	406.0	
504.4	407.9	
504.6	409.8	
504.8	411.7	
505.0	413.7	
505.2	416.0	
505.4	418.3	
505.6	420.7	
505.8	422.9	
506.0	424.9	
506.2	426.6	
506.4	428.5	
506.6	430.6	
506.8	432.6	
507.0	434.6	
507.2	436.6	
507.4	438.6	
507.6	440.7	
507.8	442.8	
508.0	444.9	
508.2	447.0	
508.4	448.9	
508.6	451.0	
508.8	453.1	
509.0	455.1	
509.2	457.3	
509.4	459.6	
509.6	461.7	
509.8	463.9	
510.0	466.1	
510.2	468.2	
510.4	470.4	
510.6	472.5	
510.8	474.5	
511.0	476.6	
511.2	478.8	
511.4	481.2	
511.6	483.6	
511.8	486.0	
512.0	488.2	
512.2	490.5	
512.4	492.6	
512.6	494.5	
512.8	496.3	
513.0	497.9	
513.2	499.8	
513.4	501.6	
513.6	503.5	
513.8	505.3	
514.0	507.1	
514.2	509.2	
514.4	511.4	
514.6	513.6	
514.8	515.7	
515.0	517.8	
515.2	520.0	
515.4	522.1	
515.6	524.2	
515.8	526.2	
516.0	528.3	
516.2	530.3	
516.4	532.4	
516.6	534.5	
516.8	536.7	
517.0	538.7	
517.2	540.6	
517.4	542.1	
517.6	543.8	
517.8	545.8	
518.0	547.9	
518.2	549.9	
518.4	551.7	
518.6	553.4	
518.8	555.4	
519.0	557.4	
519.2	559.4	
519.4	561.5	
519.6	563.2	
519.8	565.0	
520.0	566.6	
520.2	568.3	
520.4	570.1	
520.6	572.0	
520.8	573.7	
521.0	575.1	
521.2	576.4	
521.4	577.8	
521.6	579.4	
521.8	580.8	
522.0	582.5	
522.2	584.1	
522.4	586.0	
522.6	587.7	
522.8	589.0	
523.0	590.2	
523.2	591.7	
523.4	593.3	
523.6	595.0	
523.8	596.2	
524.0	597.2	
524.2	598.2	
524.4	599.4	
524.6	600.6	
524.8	601.8	
525.0	602.8	
525.2	604.0	
525.4	605.0	
525.6	606.2	
525.8	607.4	
526.0	608.4	
526.2	609.7	
526.4	610.8	
526.6	611.7	
526.8	612.5	
527.0	613.1	
527.2	613.8	
527.4	614.8	
527.6	615.9	
527.8	616.7	
528.0	617.6	
528.2	618.1	
528.4	618.7	
528.6	619.4	
528.8	620.3	
529.0	621.0	
529.2	621.7	
529.4	622.3	
529.6	622.7	
529.8	623.1	
530.0	623.5	
530.2	623.9	
530.4	624.4	
530.6	624.9	
530.8	625.2	
531.0	625.4	
531.2	625.5	
531.4	625.6	
531.6	625.9	
531.8	626.1	
532.0	626.1	
532.2	626.2	
532.4	626.4	
532.6	626.9	
532.8	627.4	
533.0	627.6	
533.2	627.6	
533.4	627.5	
533.6	627.4	
533.8	627.3	
534.0	627.3	
534.2	627.0	
534.4	626.8	
534.6	626.3	
534.8	625.9	
535.0	625.6	
535.2	625.6	
535.4	625.6	
535.6	625.6	
535.8	625.5	
536.0	625.2	
536.2	625.0	
536.4	624.6	
536.6	624.4	
536.8	623.8	
537.0	623.1	
537.2	622.3	
537.4	621.4	
537.6	621.0	
537.8	620.9	
538.0	620.6	
538.2	620.0	
538.4	619.3	
538.6	618.6	
538.8	618.2	
539.0	617.8	
539.2	617.2	
539.4	616.4	
539.6	615.3	
539.8	614.2	
540.0	612.9	
540.2	611.5	
540.4	610.3	
540.6	609.2	
540.8	608.2	
541.0	607.1	
541.2	606.1	
541.4	605.0	
541.6	604.0	
541.8	603.1	
542.0	602.0	
542.2	600.9	
542.4	599.7	
542.6	598.5	
542.8	597.6	
543.0	596.8	
543.2	596.1	
543.4	595.3	
543.6	594.3	
543.8	593.1	
544.0	591.8	
544.2	590.4	
544.4	588.8	
544.6	587.3	
544.8	586.1	
545.0	585.2	
545.2	584.3	
545.4	583.3	
545.6	581.9	
545.8	580.3	
546.0	578.6	
546.2	577.0	
546.4	575.3	
546.6	573.7	
546.8	572.2	
547.0	570.8	
547.2	569.5	
547.4	568.2	
547.6	567.1	
547.8	565.9	
548.0	564.8	
548.2	563.7	
548.4	562.5	
548.6	561.0	
548.8	559.6	
549.0	558.1	
549.2	556.7	
549.4	555.2	
549.6	553.5	
549.8	551.8	
550.0	550.2	
550.2	548.5	
550.4	546.8	
550.6	545.0	
550.8	543.1	
551.0	541.5	
551.2	540.1	
551.4	538.6	
551.6	537.1	
551.8	535.6	
552.0	534.0	
552.2	532.4	
552.4	530.8	
552.6	529.1	
552.8	527.6	
553.0	526.2	
553.2	524.8	
553.4	523.1	
553.6	521.5	
553.8	519.6	
554.0	518.0	
554.2	516.6	
554.4	515.2	
554.6	513.6	
554.8	512.2	
555.0	510.7	
555.2	509.2	
555.4	507.7	
555.6	506.2	
555.8	504.7	
556.0	503.2	
556.2	501.5	
556.4	499.7	
556.6	497.9	
556.8	496.3	
557.0	494.8	
557.2	493.3	
557.4	491.7	
557.6	490.3	
557.8	488.8	
558.0	487.5	
558.2	486.1	
558.4	484.6	
558.6	483.3	
558.8	482.0	
559.0	480.7	
559.2	479.2	
559.4	477.4	
559.6	475.5	
559.8	473.7	
560.0	472.2	
560.2	470.7	
560.4	469.1	
560.6	467.4	
560.8	465.4	
561.0	463.2	
561.2	461.3	
561.4	459.4	
561.6	457.7	
561.8	456.2	
562.0	454.6	
562.2	453.0	
562.4	451.3	
562.6	449.7	
562.8	448.2	
563.0	446.9	
563.2	445.5	
563.4	443.9	
563.6	442.1	
563.8	440.5	
564.0	439.0	
564.2	437.4	
564.4	435.9	
564.6	434.2	
564.8	432.6	
565.0	431.1	
565.2	429.6	
565.4	428.0	
565.6	426.5	
565.8	424.7	
566.0	423.1	
566.2	421.5	
566.4	419.8	
566.6	418.1	
566.8	416.4	
567.0	414.8	
567.2	413.3	
567.4	411.8	
567.6	410.1	
567.8	408.5	
568.0	406.7	
568.2	405.1	
568.4	403.5	
568.6	402.1	
568.8	400.8	
569.0	399.3	
569.2	397.5	
569.4	395.7	
569.6	394.0	
569.8	392.3	
570.0	390.7	
570.2	389.0	
570.4	387.5	
570.6	385.9	
570.8	384.5	
571.0	383.0	
571.2	381.5	
571.4	379.7	
571.6	377.9	
571.8	375.9	
572.0	374.1	
572.2	372.5	
