
nm	Data	
440.0	9996	
440.2	9999.9	
440.4	9998	
440.6	9953	
440.8	9863	
441.0	9719	
441.2	9528	
441.4	9299	
441.6	9040	
441.8	8756	
442.0	8455	
442.2	8138	
442.4	7810	
442.6	7473	
442.8	7131	
443.0	6784	
443.2	6436	
443.4	6089	
443.6	5747	
443.8	5411	
444.0	5083	
444.2	4765	
444.4	4455	
444.6	4156	
444.8	3868	
445.0	3593	
445.2	3331	
445.4	3084	
445.6	2851	
445.8	2631	
446.0	2425	
446.2	2232	
446.4	2052	
446.6	1885	
446.8	1730	
447.0	1587	
447.2	1455	
447.4	1333	
447.6	1222	
447.8	1120	
448.0	1027	
448.2	941.9	
448.4	864.7	
448.6	794.4	
448.8	730.3	
449.0	672.1	
449.2	619.1	
449.4	571.0	
449.6	527.3	
449.8	487.6	
450.0	451.4	
450.2	418.6	
450.4	388.7	
450.6	361.7	
450.8	337.1	
451.0	314.7	
451.2	294.4	
451.4	276.0	
451.6	259.2	
451.8	244.0	
452.0	230.1	
452.2	217.5	
452.4	206.1	
452.6	195.9	
452.8	186.6	
453.0	178.2	
453.2	170.6	
453.4	163.6	
453.6	157.1	
453.8	151.3	
454.0	146.0	
454.2	141.4	
454.4	137.2	
454.6	133.3	
454.8	129.7	
455.0	126.4	
455.2	123.6	
455.4	121.2	
455.6	119.1	
455.8	117.3	
456.0	115.5	
456.2	113.9	
456.4	112.6	
456.6	111.5	
456.8	110.5	
457.0	109.7	
457.2	109.0	
457.4	108.4	
457.6	108.0	
457.8	107.7	
458.0	107.4	
458.2	107.2	
458.4	107.1	
458.6	106.9	
458.8	106.7	
459.0	106.6	
459.2	106.6	
459.4	106.8	
459.6	107.0	
459.8	107.2	
460.0	107.6	
460.2	107.9	
460.4	108.3	
460.6	108.7	
460.8	109.0	
461.0	109.3	
461.2	109.5	
461.4	109.9	
461.6	110.5	
461.8	111.1	
462.0	111.7	
462.2	112.2	
462.4	112.8	
462.6	113.5	
462.8	114.1	
463.0	114.7	
