
nm	Data	
440.0	9999.9	
440.2	9965	
440.4	9876	
440.6	9739	
440.8	9561	
441.0	9348	
441.2	9105	
441.4	8835	
441.6	8545	
441.8	8240	
442.0	7925	
442.2	7602	
442.4	7274	
442.6	6941	
442.8	6606	
443.0	6270	
443.2	5936	
443.4	5607	
443.6	5284	
443.8	4970	
444.0	4663	
444.2	4366	
444.4	4078	
444.6	3801	
444.8	3536	
445.0	3283	
445.2	3043	
445.4	2817	
445.6	2603	
445.8	2403	
446.0	2214	
446.2	2037	
446.4	1873	
446.6	1720	
446.8	1579	
447.0	1449	
447.2	1328	
447.4	1218	
447.6	1116	
447.8	1023	
448.0	938.4	
448.2	861.1	
448.4	790.5	
448.6	726.3	
448.8	668.0	
449.0	615.1	
449.2	566.9	
449.4	523.2	
449.6	483.5	
449.8	447.3	
450.0	414.5	
450.2	384.6	
450.4	357.4	
450.6	332.8	
450.8	310.4	
451.0	290.1	
451.2	271.7	
451.4	255.0	
451.6	239.9	
451.8	226.1	
452.0	213.7	
452.2	202.4	
452.4	192.2	
452.6	183.0	
452.8	174.6	
453.0	166.8	
453.2	159.8	
453.4	153.5	
453.6	147.9	
453.8	142.8	
454.0	138.3	
454.2	134.2	
454.4	130.5	
454.6	127.3	
454.8	124.3	
455.0	121.7	
455.2	119.5	
455.4	117.4	
455.6	115.6	
455.8	114.0	
456.0	112.6	
456.2	111.4	
456.4	110.3	
456.6	109.3	
456.8	108.5	
457.0	107.8	
457.2	107.4	
457.4	107.1	
457.6	106.9	
457.8	106.7	
458.0	106.6	
458.2	106.5	
458.4	106.4	
458.6	106.4	
458.8	106.6	
459.0	106.9	
459.2	107.4	
459.4	107.9	
459.6	108.3	
459.8	108.7	
460.0	109.2	
460.2	109.7	
460.4	110.4	
460.6	110.9	
460.8	111.5	
461.0	112.1	
461.2	112.7	
461.4	113.3	
461.6	114.0	
461.8	114.6	
462.0	115.3	
462.2	116.0	
462.4	116.8	
462.6	117.7	
462.8	118.5	
463.0	119.3	
463.2	120.2	
463.4	121.1	
